AgeGroup,Attrition,Attrition_Reason,BusinessTravel,Department,EducationField,EmpID,EmployeeExperence,EnvironmentSatisfactionStatus,Gender,JobRole,MaritalStatus,Month,New_hire vs old,Over18,OverTime,PerformanceRating - Copy,Salary_Hike,SalarySlab,TotalWorkingStatus,Year
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM115,0-5,Fair,Female,Research Scientist,Divorced,Mar,old,Y,No,Below Expectations,1.00%,Upto 5k,11-25,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM1213,5-15,Excellent,Female,Research Scientist,Married,Feb,NEW_Hire,Y,No,Below Expectations,10.00%,Upto 5k,Above 25,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM1213,5-15,Excellent,Female,Research Scientist,Married,Jan,NEW_Hire,Y,No,Below Expectations,10.00%,Upto 5k,Above 25,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM1233,0-5,Poor,Male,Manufacturing Director,Married,Jan,old,Y,No,Below Expectations,7.00%,5k-10k,11-25,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM1233,0-5,Poor,Male,Manufacturing Director,Married,Jun,old,Y,No,Below Expectations,7.00%,5k-10k,11-25,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM1260,0-5,Fair,Male,Healthcare Representative,Married,Jul,NEW_Hire,Y,No,Below Expectations,7.00%,5k-10k,Above 25,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM1260,0-5,Fair,Male,Healthcare Representative,Married,Nov,NEW_Hire,Y,No,Below Expectations,7.00%,5k-10k,Above 25,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM1325,0-5,Poor,Male,Healthcare Representative,Divorced,Apr,old,Y,No,Below Expectations,7.00%,5k-10k,11-25,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM1325,0-5,Poor,Male,Healthcare Representative,Divorced,Jun,old,Y,No,Below Expectations,7.00%,5k-10k,11-25,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM1350,0-5,Excellent,Female,Research Scientist,Married,Jul,NEW_Hire,Y,Yes,Below Expectations,1.00%,Upto 5k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM1350,0-5,Excellent,Female,Research Scientist,Married,May,NEW_Hire,Y,Yes,Below Expectations,1.00%,Upto 5k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM1427,0-5,Fair,Female,Laboratory Technician,Single,Apr,NEW_Hire,Y,No,Below Expectations,6.00%,Upto 5k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM1427,0-5,Fair,Female,Laboratory Technician,Single,Jan,NEW_Hire,Y,No,Below Expectations,6.00%,Upto 5k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM248,5-15,Poor,Male,Manufacturing Director,Married,Apr,old,Y,No,Below Expectations,11.00%,5k-10k,11-25,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM248,5-15,Poor,Male,Manufacturing Director,Married,Sep,old,Y,No,Below Expectations,11.00%,5k-10k,11-25,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM290,0-5,Poor,Female,Research Scientist,Single,Aug,NEW_Hire,Y,No,Meet Expectations,5.00%,Upto 5k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM290,0-5,Poor,Female,Research Scientist,Single,Jul,NEW_Hire,Y,No,Meet Expectations,5.00%,Upto 5k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM400,0-5,Poor,Male,Laboratory Technician,Married,May,NEW_Hire,Y,No,Below Expectations,4.00%,Upto 5k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM400,0-5,Poor,Male,Laboratory Technician,Married,Nov,NEW_Hire,Y,No,Below Expectations,4.00%,Upto 5k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM419,0-5,Good,Female,Research Scientist,Divorced,Jul,NEW_Hire,Y,No,Meet Expectations,3.00%,Upto 5k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM419,0-5,Good,Female,Research Scientist,Divorced,Nov,NEW_Hire,Y,No,Meet Expectations,3.00%,Upto 5k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM433,0-5,Poor,Male,Research Scientist,Divorced,Feb,old,Y,No,Below Expectations,7.00%,Upto 5k,11-25,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM433,0-5,Poor,Male,Research Scientist,Divorced,Mar,old,Y,No,Below Expectations,7.00%,Upto 5k,11-25,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM482,0-5,Excellent,Male,Research Scientist,Married,Aug,NEW_Hire,Y,Yes,Below Expectations,6.00%,Upto 5k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM482,0-5,Excellent,Male,Research Scientist,Married,Oct,NEW_Hire,Y,Yes,Below Expectations,6.00%,Upto 5k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM509,5-15,Excellent,Male,Research Scientist,Single,Jul,old,Y,No,Below Expectations,17.00%,5k-10k,11-25,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM509,5-15,Excellent,Male,Research Scientist,Single,Nov,old,Y,No,Below Expectations,17.00%,5k-10k,11-25,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM531,0-5,Fair,Female,Manufacturing Director,Married,Jan,NEW_Hire,Y,No,Below Expectations,9.00%,5k-10k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM531,0-5,Fair,Female,Manufacturing Director,Married,Sep,NEW_Hire,Y,No,Below Expectations,9.00%,5k-10k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM561,0-5,Excellent,Female,Manufacturing Director,Divorced,Jan,NEW_Hire,Y,No,Below Expectations,0.00%,5k-10k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM561,0-5,Excellent,Female,Manufacturing Director,Divorced,Nov,NEW_Hire,Y,No,Below Expectations,0.00%,5k-10k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM595,5-15,Fair,Male,Research Scientist,Married,Jun,NEW_Hire,Y,No,Meet Expectations,10.00%,Upto 5k,Above 25,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM595,5-15,Fair,Male,Research Scientist,Married,Oct,NEW_Hire,Y,No,Meet Expectations,10.00%,Upto 5k,Above 25,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM601,5-15,Fair,Female,Manufacturing Director,Married,Apr,old,Y,No,Below Expectations,14.00%,5k-10k,11-25,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM601,5-15,Fair,Female,Manufacturing Director,Married,Jul,old,Y,No,Below Expectations,14.00%,5k-10k,11-25,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM672,0-5,Excellent,Male,Laboratory Technician,Divorced,Jan,NEW_Hire,Y,No,Below Expectations,1.00%,Upto 5k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM672,0-5,Excellent,Male,Laboratory Technician,Divorced,Oct,NEW_Hire,Y,No,Below Expectations,1.00%,Upto 5k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM695,0-5,Excellent,Female,Healthcare Representative,Single,Apr,NEW_Hire,Y,No,Below Expectations,5.00%,5k-10k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM695,0-5,Excellent,Female,Healthcare Representative,Single,Aug,NEW_Hire,Y,No,Below Expectations,5.00%,5k-10k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM890,0-5,Good,Male,Research Scientist,Married,Aug,NEW_Hire,Y,Yes,Below Expectations,9.00%,Upto 5k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM890,0-5,Good,Male,Research Scientist,Married,Feb,NEW_Hire,Y,Yes,Below Expectations,9.00%,Upto 5k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM925,0-5,Fair,Male,Research Scientist,Married,May,NEW_Hire,Y,Yes,Below Expectations,3.00%,Upto 5k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Life Sciences,RM925,0-5,Fair,Male,Research Scientist,Married,Sep,NEW_Hire,Y,Yes,Below Expectations,3.00%,Upto 5k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM005,0-5,Good,Male,Laboratory Technician,Married,Mar,NEW_Hire,Y,No,Below Expectations,2.00%,Upto 5k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM031,0-5,Fair,Male,Laboratory Technician,Single,Nov,NEW_Hire,Y,No,Below Expectations,1.00%,Upto 5k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM058,0-5,Fair,Female,Laboratory Technician,Married,Jul,NEW_Hire,Y,Yes,Below Expectations,2.00%,Upto 5k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM058,0-5,Fair,Female,Laboratory Technician,Married,Sep,NEW_Hire,Y,Yes,Below Expectations,2.00%,Upto 5k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM061,0-5,Good,Male,Manufacturing Director,Married,Feb,NEW_Hire,Y,Yes,Meet Expectations,9.00%,5k-10k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM061,0-5,Good,Male,Manufacturing Director,Married,Nov,NEW_Hire,Y,Yes,Meet Expectations,9.00%,5k-10k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM082,0-5,Excellent,Male,Research Scientist,Single,Feb,NEW_Hire,Y,No,Below Expectations,6.00%,Upto 5k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM082,0-5,Excellent,Male,Research Scientist,Single,Jul,NEW_Hire,Y,No,Below Expectations,6.00%,Upto 5k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM1002,0-5,Fair,Female,Laboratory Technician,Married,Nov,old,Y,Yes,Meet Expectations,1.00%,Upto 5k,11-25,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM1023,0-5,Poor,Female,Sales Representative,Married,Mar,NEW_Hire,Y,No,Below Expectations,2.00%,Upto 5k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM1052,0-5,Fair,Male,Research Scientist,Married,Oct,NEW_Hire,Y,No,Meet Expectations,5.00%,Upto 5k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM1064,5-15,Excellent,Female,Research Scientist,Divorced,Feb,old,Y,Yes,Below Expectations,13.00%,5k-10k,11-25,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM1109,0-5,Poor,Male,Laboratory Technician,Single,Jan,NEW_Hire,Y,No,Below Expectations,3.00%,Upto 5k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM1109,0-5,Poor,Male,Laboratory Technician,Single,Jun,NEW_Hire,Y,No,Below Expectations,3.00%,Upto 5k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM1123,5-15,Excellent,Male,Laboratory Technician,Single,Jun,NEW_Hire,Y,Yes,Below Expectations,10.00%,Upto 5k,Above 25,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM1123,5-15,Excellent,Male,Laboratory Technician,Single,Oct,NEW_Hire,Y,Yes,Below Expectations,10.00%,Upto 5k,Above 25,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM1142,0-5,Excellent,Male,Research Scientist,Married,Aug,NEW_Hire,Y,No,Below Expectations,6.00%,Upto 5k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM1142,0-5,Excellent,Male,Research Scientist,Married,Nov,NEW_Hire,Y,No,Below Expectations,6.00%,Upto 5k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM1209,5-15,Excellent,Male,Laboratory Technician,Married,Jan,old,Y,No,Below Expectations,15.00%,Upto 5k,11-25,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM1209,5-15,Excellent,Male,Laboratory Technician,Married,Jun,old,Y,No,Below Expectations,15.00%,Upto 5k,11-25,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM1225,0-5,Poor,Male,Laboratory Technician,Married,Nov,NEW_Hire,Y,No,Below Expectations,3.00%,Upto 5k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM1225,0-5,Poor,Male,Laboratory Technician,Married,Oct,NEW_Hire,Y,No,Below Expectations,3.00%,Upto 5k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM1253,0-5,Poor,Male,Research Scientist,Married,Jul,NEW_Hire,Y,Yes,Below Expectations,5.00%,Upto 5k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM1253,0-5,Poor,Male,Research Scientist,Married,May,NEW_Hire,Y,Yes,Below Expectations,5.00%,Upto 5k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM1297,0-5,Good,Female,Manufacturing Director,Single,Mar,NEW_Hire,Y,No,Below Expectations,7.00%,5k-10k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM1308,0-5,Fair,Female,Research Scientist,Married,Nov,NEW_Hire,Y,No,Meet Expectations,3.00%,Upto 5k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM1308,0-5,Fair,Female,Research Scientist,Married,Sep,NEW_Hire,Y,No,Meet Expectations,3.00%,Upto 5k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM1461,0-5,Poor,Female,Research Scientist,Single,Aug,NEW_Hire,Y,No,Below Expectations,5.00%,Upto 5k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM1461,0-5,Poor,Female,Research Scientist,Single,Jan,NEW_Hire,Y,No,Below Expectations,5.00%,Upto 5k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM1461,0-5,Poor,Female,Research Scientist,Single,Mar,NEW_Hire,Y,No,Below Expectations,5.00%,Upto 5k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM1461,0-5,Poor,Female,Research Scientist,Single,Oct,NEW_Hire,Y,No,Below Expectations,5.00%,Upto 5k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM147,0-5,Excellent,Male,Laboratory Technician,Single,May,NEW_Hire,Y,No,Below Expectations,5.00%,Upto 5k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM147,0-5,Excellent,Male,Laboratory Technician,Single,Sep,NEW_Hire,Y,No,Below Expectations,5.00%,Upto 5k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM182,0-5,Poor,Female,Research Scientist,Single,Feb,NEW_Hire,Y,No,Below Expectations,3.00%,Upto 5k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM182,0-5,Poor,Female,Research Scientist,Single,May,NEW_Hire,Y,No,Below Expectations,3.00%,Upto 5k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM222,0-5,Fair,Female,Research Scientist,Married,Oct,NEW_Hire,Y,No,Meet Expectations,3.00%,Upto 5k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM222,0-5,Fair,Female,Research Scientist,Married,Sep,NEW_Hire,Y,No,Meet Expectations,3.00%,Upto 5k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM273,0-5,Poor,Male,Research Scientist,Married,Feb,NEW_Hire,Y,No,Meet Expectations,5.00%,Upto 5k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM273,0-5,Poor,Male,Research Scientist,Married,Jun,NEW_Hire,Y,No,Meet Expectations,5.00%,Upto 5k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM525,0-5,Poor,Female,Healthcare Representative,Single,Jan,NEW_Hire,Y,No,Below Expectations,8.00%,5k-10k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM525,0-5,Poor,Female,Healthcare Representative,Single,Mar,NEW_Hire,Y,No,Below Expectations,8.00%,5k-10k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM573,0-5,Excellent,Female,Healthcare Representative,Married,Apr,old,Y,No,Below Expectations,8.00%,Upto 5k,11-25,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM573,0-5,Excellent,Female,Healthcare Representative,Married,Oct,old,Y,No,Below Expectations,8.00%,Upto 5k,11-25,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM580,0-5,Fair,Female,Research Scientist,Single,Jun,NEW_Hire,Y,No,Below Expectations,6.00%,Upto 5k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM580,0-5,Fair,Female,Research Scientist,Single,Mar,NEW_Hire,Y,No,Below Expectations,6.00%,Upto 5k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM591,5-15,Fair,Male,Research Director,Married,Jan,old,Y,No,Below Expectations,13.00%,10k-15k,11-25,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM591,5-15,Fair,Male,Research Director,Married,Jul,old,Y,No,Below Expectations,13.00%,10k-15k,11-25,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM621,0-5,Fair,Female,Research Scientist,Single,May,NEW_Hire,Y,No,Below Expectations,6.00%,Upto 5k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM621,0-5,Fair,Female,Research Scientist,Single,Oct,NEW_Hire,Y,No,Below Expectations,6.00%,Upto 5k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM627,0-5,Fair,Female,Research Scientist,Married,Jun,NEW_Hire,Y,No,Below Expectations,5.00%,5k-10k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM627,0-5,Fair,Female,Research Scientist,Married,Oct,NEW_Hire,Y,No,Below Expectations,5.00%,5k-10k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM730,5-15,Fair,Female,Healthcare Representative,Divorced,Feb,old,Y,Yes,Below Expectations,16.00%,10k-15k,11-25,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM730,5-15,Fair,Female,Healthcare Representative,Divorced,Jan,old,Y,Yes,Below Expectations,16.00%,10k-15k,11-25,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM810,0-5,Poor,Female,Manufacturing Director,Divorced,Apr,NEW_Hire,Y,No,Below Expectations,9.00%,5k-10k,Above 25,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Medical,RM810,0-5,Poor,Female,Manufacturing Director,Divorced,Nov,NEW_Hire,Y,No,Below Expectations,9.00%,5k-10k,Above 25,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Other,RM041,0-5,Fair,Male,Laboratory Technician,Divorced,Jun,NEW_Hire,Y,No,Below Expectations,1.00%,Upto 5k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Other,RM041,0-5,Fair,Male,Laboratory Technician,Divorced,Oct,NEW_Hire,Y,No,Below Expectations,1.00%,Upto 5k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Other,RM104,5-15,Good,Female,Research Scientist,Single,Feb,old,Y,No,Below Expectations,16.00%,Upto 5k,11-25,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Other,RM1091,0-5,Fair,Female,Healthcare Representative,Married,Aug,NEW_Hire,Y,No,Below Expectations,7.00%,5k-10k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Other,RM1091,0-5,Fair,Female,Healthcare Representative,Married,Mar,NEW_Hire,Y,No,Below Expectations,7.00%,5k-10k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Other,RM1140,0-5,Excellent,Female,Research Scientist,Married,Feb,NEW_Hire,Y,No,Below Expectations,3.00%,Upto 5k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Other,RM1140,0-5,Excellent,Female,Research Scientist,Married,Jan,NEW_Hire,Y,No,Below Expectations,3.00%,Upto 5k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Other,RM1150,0-5,Poor,Male,Laboratory Technician,Divorced,Jun,NEW_Hire,Y,No,Below Expectations,7.00%,Upto 5k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Other,RM1150,0-5,Poor,Male,Laboratory Technician,Divorced,Oct,NEW_Hire,Y,No,Below Expectations,7.00%,Upto 5k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Other,RM126,0-5,Fair,Female,Research Scientist,Married,Apr,NEW_Hire,Y,No,Below Expectations,5.00%,Upto 5k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Other,RM126,0-5,Fair,Female,Research Scientist,Married,Jul,NEW_Hire,Y,No,Below Expectations,5.00%,Upto 5k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Other,RM484,0-5,Good,Male,Laboratory Technician,Single,Jan,NEW_Hire,Y,No,Below Expectations,3.00%,Upto 5k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Other,RM484,0-5,Good,Male,Laboratory Technician,Single,Nov,NEW_Hire,Y,No,Below Expectations,3.00%,Upto 5k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Other,RM612,0-5,Fair,Male,Manufacturing Director,Single,Jan,old,Y,No,Meet Expectations,8.00%,10k-15k,11-25,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Other,RM612,0-5,Fair,Male,Manufacturing Director,Single,Jan,old,Y,No,Meet Expectations,8.00%,10k-15k,11-25,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Technical Degree,RM146,0-5,Poor,Female,Research Scientist,Divorced,Mar,NEW_Hire,Y,No,Below Expectations,3.00%,Upto 5k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Technical Degree,RM146,0-5,Poor,Female,Research Scientist,Divorced,Sep,NEW_Hire,Y,No,Below Expectations,3.00%,Upto 5k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Technical Degree,RM171,0-5,Fair,Male,Research Scientist,Married,Aug,NEW_Hire,Y,Yes,Below Expectations,5.00%,Upto 5k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Technical Degree,RM171,0-5,Fair,Male,Research Scientist,Married,Nov,NEW_Hire,Y,Yes,Below Expectations,5.00%,Upto 5k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Technical Degree,RM611,0-5,Fair,Male,Research Director,Divorced,Jan,NEW_Hire,Y,Yes,Below Expectations,9.00%,10k-15k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Research & Development,Technical Degree,RM611,0-5,Fair,Male,Research Director,Divorced,Jul,NEW_Hire,Y,Yes,Below Expectations,9.00%,10k-15k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Sales,Life Sciences,RM1060,0-5,Poor,Male,Sales Representative,Married,Apr,NEW_Hire,Y,No,Below Expectations,1.00%,Upto 5k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Sales,Life Sciences,RM1060,0-5,Poor,Male,Sales Representative,Married,Jun,NEW_Hire,Y,No,Below Expectations,1.00%,Upto 5k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Sales,Life Sciences,RM1064,5-15,Fair,Male,Sales Executive,Divorced,May,NEW_Hire,Y,No,Below Expectations,10.00%,5k-10k,Above 25,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Sales,Life Sciences,RM1064,5-15,Fair,Male,Sales Executive,Divorced,Nov,NEW_Hire,Y,No,Below Expectations,10.00%,5k-10k,Above 25,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Sales,Life Sciences,RM1271,0-5,Poor,Female,Sales Executive,Single,Apr,NEW_Hire,Y,No,Below Expectations,2.00%,5k-10k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Sales,Life Sciences,RM1271,0-5,Poor,Female,Sales Executive,Single,Feb,NEW_Hire,Y,No,Below Expectations,2.00%,5k-10k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Sales,Life Sciences,RM1343,0-5,Fair,Male,Sales Executive,Married,Aug,NEW_Hire,Y,Yes,Below Expectations,5.00%,5k-10k,0-10,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Sales,Life Sciences,RM1343,0-5,Fair,Male,Sales Executive,Married,Jan,NEW_Hire,Y,Yes,Below Expectations,5.00%,5k-10k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Sales,Life Sciences,RM307,5-15,Poor,Male,Sales Executive,Married,Nov,old,Y,No,Below Expectations,13.00%,5k-10k,11-25,2022
26-35,No,Not metting Probation Stand,Travel_Rarely,Sales,Life Sciences,RM307,5-15,Poor,Male,Sales Executive,Married,Sep,old,Y,No,Below Expectations,13.00%,5k-10k,11-25,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Sales,Life Sciences,RM321,0-5,Poor,Male,Sales Executive,Single,Aug,NEW_Hire,Y,Yes,Below Expectations,5.00%,Upto 5k,0-10,2023
26-35,No,Not metting Probation Stand,Travel_Rarely,Sales,Life Sciences,RM321,0-5,Poor,Male,Sales Executive,Single,Sep,NEW_Hire,Y,Yes,Below Expectations,5.00%,Upto 5k,0-10,2022
